,arrival_icao,flight_number,status,departure_airport,scheduled_time,terminal,aircraft_model,airline,departure_icao,departure_iata
686,EDDL,AY 1395,Expected,Helsinki,2022-06-16 18:00:00+02:00,B,Embraer 190,Finnair,EFHK,HEL
687,EDDL,EW 9337,Expected,Birmingham,2022-06-16 10:35:00+02:00,A,Airbus A220-300,Eurowings,EGBB,BHX
688,EDDL,EW 9341,Expected,Manchester,2022-06-16 10:30:00+02:00,A,Airbus A320,Eurowings,EGCC,MAN
689,EDDL,BA 3273,Expected,London,2022-06-16 13:15:00+02:00,C,Embraer 190,British Airways,EGLC,LCY
690,EDDL,BA 3275,Expected,London,2022-06-16 17:00:00+02:00,C,Embraer 190,British Airways,EGLC,LCY
691,EDDL,BA 3277,Expected,London,2022-06-16 21:00:00+02:00,C,Embraer 190,British Airways,EGLC,LCY
692,EDDL,EW 9469,Expected,London,2022-06-16 10:30:00+02:00,A,Airbus A220-300,Eurowings,EGLL,LHR
693,EDDL,EW 9467,Expected,London,2022-06-16 14:35:00+02:00,A,Airbus A220-300,Eurowings,EGLL,LHR
694,EDDL,BA 942,Expected,London,2022-06-16 17:35:00+02:00,C,Airbus A320-200 (sharklets),British Airways,EGLL,LHR
695,EDDL,EW 9465,Expected,London,2022-06-16 20:00:00+02:00,A,Airbus A220-300,Eurowings,EGLL,LHR
696,EDDL,BA 946,Expected,London,2022-06-16 21:30:00+02:00,C,Airbus A319,British Airways,EGLL,LHR
697,EDDL,EW 9365,Expected,Edinburgh,2022-06-16 15:35:00+02:00,A,Airbus A320-200 (sharklets),Eurowings,EGPH,EDI
698,EDDL,KL 1855,Expected,Amsterdam,2022-06-16 11:50:00+02:00,B,Embraer 190,KLM,EHAM,AMS
699,EDDL,KL 1861,Expected,Amsterdam,2022-06-16 17:40:00+02:00,B,Embraer 170,KLM,EHAM,AMS
700,EDDL,EW 9395,Expected,Dublin,2022-06-16 17:50:00+02:00,A,Airbus A320 (Sharklets),Eurowings,EIDW,DUB
701,EDDL,EI 698,Expected,Dublin,2022-06-16 20:25:00+02:00,C,Airbus A320-200,Aer Lingus,EIDW,DUB
702,EDDL,EW 9243,Expected,Copenhagen,2022-06-16 11:05:00+02:00,A,Airbus A319,Eurowings,EKCH,CPH
703,EDDL,SK 627,Expected,Copenhagen,2022-06-16 18:10:00+02:00,A,Canadair Regional Jet CRJ-900 / 890,SAS,EKCH,CPH
704,EDDL,SK 816,Expected,Oslo,2022-06-16 11:05:00+02:00,A,Airbus A320 NEO,SAS,ENGM,OSL
705,EDDL,SK 818,Expected,Oslo,2022-06-16 18:50:00+02:00,A,Airbus A320 NEO,SAS,ENGM,OSL
706,EDDL,EW 9733,Expected,Kraków,2022-06-16 15:35:00+02:00,A,Airbus A320,Eurowings,EPKK,KRK
707,EDDL,LO 407,Expected,Warsaw,2022-06-16 19:00:00+02:00,A,Embraer 190,LOT - Polish,EPWA,WAW
708,EDDL,EW 9731,Expected,Wrocław,2022-06-16 15:25:00+02:00,A,Airbus A220-300,Eurowings,EPWR,WRO
709,EDDL,SK 1623,Expected,Stockholm,2022-06-16 10:25:00+02:00,A,Canadair Regional Jet CRJ-900 / 890,SAS,ESSA,ARN
710,EDDL,EW 9217,Expected,Stockholm,2022-06-16 12:10:00+02:00,A,Airbus A319,Eurowings,ESSA,ARN
711,EDDL,SK 2625,Expected,Stockholm,2022-06-16 19:10:00+02:00,A,Canadair Regional Jet CRJ-900 / 890,SAS,ESSA,ARN
712,EDDL,EW 9213,Expected,Stockholm,2022-06-16 22:00:00+02:00,A,Airbus A319,Eurowings,ESSA,ARN
713,EDDL,BT 233,Expected,Riga,2022-06-16 17:40:00+02:00,B,Airbus A220-300,Air Baltic,EVRA,RIX
714,EDDL,EW 9553,Expected,Fuerteventura Island,2022-06-16 21:25:00+02:00,B,Airbus A320,Eurowings,GCFV,FUE
715,EDDL,XR 4045,Expected,Tenerife Island,2022-06-16 17:30:00+02:00,B,Boeing 737-800 (winglets),Corendon  Europe,GCTS,TFS
716,EDDL,SM 2980,Expected,Hurghada,2022-06-16 16:15:00+02:00,C,Airbus A320-200,Air Cairo,HEGN,HRG
717,EDDL,EW 5113,Expected,Hurghada,2022-06-16 18:05:00+02:00,C,Airbus A320,Eurowings,HEGN,HRG
718,EDDL,DE 1153,Expected,Split,2022-06-16 10:40:00+02:00,C,Boeing 757-300,Condor,LDSP,SPU
719,EDDL,OU 422,Expected,Split,2022-06-16 17:00:00+02:00,C,Airbus A319,Croatia,LDSP,SPU
720,EDDL,EW 9961,Expected,Split,2022-06-16 18:15:00+02:00,C,Airbus A320,Eurowings,LDSP,SPU
721,EDDL,EW 9967,Expected,Zagreb,2022-06-16 16:05:00+02:00,C,Airbus A319,Eurowings,LDZA,ZAG
722,EDDL,EW 9531,Expected,Alicante,2022-06-16 13:25:00+02:00,A,Airbus A320,Eurowings,LEAL,ALC
723,EDDL,EW 9519,Expected,Bilbao,2022-06-16 16:55:00+02:00,A,Airbus A220-300,Eurowings,LEBB,BIO
724,EDDL,VY 1898,Expected,Barcelona,2022-06-16 15:30:00+02:00,B,Airbus A321-200,Vueling,LEBL,BCN
725,EDDL,EW 9445,Expected,Barcelona,2022-06-16 16:35:00+02:00,A,Airbus A220-300,Eurowings,LEBL,BCN
726,EDDL,X3 2915,Expected,Ibiza Town,2022-06-16 11:50:00+02:00,B,Boeing 737-800 (winglets),TUIfly,LEIB,IBZ
727,EDDL,EW 9541,Expected,Ibiza Town,2022-06-16 16:10:00+02:00,B,Airbus A320,Eurowings,LEIB,IBZ
728,EDDL,X3 2253,Expected,Jerez de la Forntera,2022-06-16 21:10:00+02:00,B,Boeing 737-800 (winglets),TUIfly,LEJR,XRY
729,EDDL,IB 3140,Expected,Madrid,2022-06-16 11:20:00+02:00,B,Airbus A320-200,Iberia,LEMD,MAD
730,EDDL,IB 3132,Expected,Madrid,2022-06-16 18:50:00+02:00,B,Airbus A320-200,Iberia,LEMD,MAD
731,EDDL,EW 9537,Expected,Málaga,2022-06-16 13:05:00+02:00,A,Airbus A320,Eurowings,LEMG,AGP
732,EDDL,X3 2405,Expected,Menorca Island,2022-06-16 11:30:00+02:00,B,Boeing 737-800 (winglets),TUIfly,LEMH,MAH
733,EDDL,DE 1515,Expected,Palma De Mallorca,2022-06-16 11:35:00+02:00,B,Boeing 757-300,Condor,LEPA,PMI
734,EDDL,DE 1775,Expected,Palma De Mallorca,2022-06-16 11:25:00+02:00,B,Airbus A320,Condor,LEPA,PMI
735,EDDL,EW 4841,Expected,Palma De Mallorca,2022-06-16 12:10:00+02:00,B,Airbus A320-200 (sharklets),Eurowings,LEPA,PMI
736,EDDL,EW 9585,Expected,Palma De Mallorca,2022-06-16 11:40:00+02:00,B,Airbus A320 NEO,Eurowings,LEPA,PMI
737,EDDL,X3 2313,Expected,Palma De Mallorca,2022-06-16 11:40:00+02:00,B,Boeing 737-800 (winglets),TUIfly,LEPA,PMI
738,EDDL,X3 2323,Expected,Palma De Mallorca,2022-06-16 13:05:00+02:00,B,Boeing 737-800 (winglets),TUIfly,LEPA,PMI
739,EDDL,DE 1779,Expected,Palma De Mallorca,2022-06-16 14:15:00+02:00,B,Airbus A330-200,Condor,LEPA,PMI
740,EDDL,EW 9579,Expected,Palma De Mallorca,2022-06-16 13:30:00+02:00,B,Airbus A320,Eurowings,LEPA,PMI
741,EDDL,EW 9591,Expected,Palma De Mallorca,2022-06-16 16:00:00+02:00,B,Airbus A320,Eurowings,LEPA,PMI
742,EDDL,EW 4847,Expected,Palma De Mallorca,2022-06-16 16:20:00+02:00,B,Airbus A319,Eurowings,LEPA,PMI
743,EDDL,EW 9581,Expected,Palma De Mallorca,2022-06-16 18:15:00+02:00,B,Airbus A320 NEO,Eurowings,LEPA,PMI
744,EDDL,XR 4043,Expected,Palma De Mallorca,2022-06-16 19:50:00+02:00,B,Boeing 737-800 (winglets),Corendon  Europe,LEPA,PMI
745,EDDL,EW 4843,Expected,Palma De Mallorca,2022-06-16 21:10:00+02:00,B,Airbus A320 (Sharklets),Eurowings,LEPA,PMI
746,EDDL,DE 1849,Expected,Palma De Mallorca,2022-06-16 21:30:00+02:00,B,Boeing 757,Condor,LEPA,PMI
747,EDDL,EW 9587,Expected,Palma De Mallorca,2022-06-16 21:50:00+02:00,B,Airbus A320,Eurowings,LEPA,PMI
748,EDDL,EW 9593,Expected,Palma De Mallorca,2022-06-16 21:30:00+02:00,B,Airbus A320,Eurowings,LEPA,PMI
749,EDDL,EW 9539,Expected,Valencia,2022-06-16 17:35:00+02:00,A,Airbus A220-300,Eurowings,LEVC,VLC
750,EDDL,EW 9421,Expected,Nice,2022-06-16 15:20:00+02:00,A,Airbus A320,Eurowings,LFMN,NCE
751,EDDL,AF 1606,Expected,Paris,2022-06-16 12:15:00+02:00,B,Embraer 190,Air France,LFPG,CDG
752,EDDL,AF 1506,Expected,Paris,2022-06-16 14:25:00+02:00,B,Embraer 190,Air France,LFPG,CDG
753,EDDL,AF 1406,Expected,Paris,2022-06-16 16:10:00+02:00,B,Embraer 190,Air France,LFPG,CDG
754,EDDL,AF 1006,Expected,Paris,2022-06-16 19:55:00+02:00,B,Embraer 170,Air France,LFPG,CDG
755,EDDL,AF 1106,Expected,Paris,2022-06-16 21:40:00+02:00,B,Embraer 190,Air France,LFPG,CDG
756,EDDL,A3 840,Expected,Athens,2022-06-16 11:35:00+02:00,B,Airbus A320-200,Aegean,LGAV,ATH
757,EDDL,EW 9681,Expected,Athens,2022-06-16 13:55:00+02:00,B,Airbus A320 (Sharklets),Eurowings,LGAV,ATH
758,EDDL,EW 9671,Expected,Heraklion,2022-06-16 19:50:00+02:00,B,Airbus A320,Eurowings,LGIR,HER
759,EDDL,DE 1621,Expected,Kos Island,2022-06-16 13:40:00+02:00,B,Airbus A321,Condor,LGKO,KGS
760,EDDL,EW 9613,Expected,Kerkyra Island,2022-06-16 12:15:00+02:00,B,Airbus A320,Eurowings,LGKR,CFU
761,EDDL,DE 1781,Expected,Preveza/Lefkada,2022-06-16 13:30:00+02:00,B,Airbus A321 (Sharklets),Condor,LGPZ,PVK
762,EDDL,EW 9631,Expected,Rodes Island,2022-06-16 14:35:00+02:00,B,Airbus A320,Eurowings,LGRP,RHO
763,EDDL,X3 4589,Expected,Rodes Island,2022-06-16 14:00:00+02:00,B,Boeing 737 MAX 8,TUIfly,LGRP,RHO
764,EDDL,DE 1757,Expected,Samos Island,2022-06-16 13:25:00+02:00,B,Airbus A320,Condor,LGSM,SMI
765,EDDL,A3 540,Expected,Thessaloniki,2022-06-16 12:00:00+02:00,B,Airbus A320-200,Aegean,LGTS,SKG
766,EDDL,EW 9655,Expected,Thessaloniki,2022-06-16 12:45:00+02:00,B,Airbus A320,Eurowings,LGTS,SKG
767,EDDL,DE 1147,Expected,Zakynthos Island,2022-06-16 12:55:00+02:00,B,Airbus A320,Condor,LGZA,ZTH
768,EDDL,EW 9785,Expected,Budapest,2022-06-16 11:10:00+02:00,A,Airbus A320,Eurowings,LHBP,BUD
769,EDDL,EW 9853,Expected,Lamezia Terme,2022-06-16 13:20:00+02:00,A,Airbus A319,Eurowings,LICA,SUF
770,EDDL,EW 9815,Expected,Catania,2022-06-16 13:20:00+02:00,A,Airbus A319,Eurowings,LICC,CTA
771,EDDL,EW 9869,Expected,Cagliari,2022-06-16 12:35:00+02:00,A,Airbus A319,Eurowings,LIEE,CAG
772,EDDL,EW 9845,Expected,Olbia,2022-06-16 17:55:00+02:00,A,Airbus A320-200 (sharklets),Eurowings,LIEO,OLB
